Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
25064233433,[NE01-6] Dép Sục NESTY In Họa Tiết Phi Hành Gia Đế Cao 4cm ( KO1 ),"148,4k",10k+,Nesty Official Store,19%,₫28.196,https://shopee.vn/product/1113586002/25064233433,https://s.shopee.vn/7psvPgOYz7
24686356744,"Bộ 3 Dao Thái DABETO Bản To, Vừa, Nhỏ, Tiện Lợi Dùng Gia Đình - Cán Đốt Trúc Chống Trơn Trượt","97,0k",40k+,Dao Bếp DABETO,"7,5%",₫6.791,https://shopee.vn/product/977138414/24686356744,https://s.shopee.vn/7KweolQT02
24638195981,Lông Mi giả tự dính không cần dùng keo (Ảnh shop tự chụp ) - thế hệ mới có thể tái sử dụng nhiều lần ( bao bì mới ),"9,0k",300k+,Người đẹp bán mi,"5,5%",₫450,https://shopee.vn/product/87956478/24638195981,https://s.shopee.vn/7VG514Ppf5
44103947407,Tinh Chất Dưỡng Thể NIVEA Vitamin Serum - Dưỡng Sáng Da Sau 7 Ngày 300ml - 93824/99197/99195/99190/99192,"179,0k",100k+,NIVEA VN OFFICIAL STORE,"10,5%",₫17.900,https://shopee.vn/product/61922582/44103947407,https://s.shopee.vn/5foQphWoNk
22316975253,"CC1-[Nhựa tốt]Vali kéo du lịch mẫu mới, đồng tông Size 20/24.Có bảo hành bể vỡ.","340,0k",90k+,ValiChuHe,12%,₫40.800,https://shopee.vn/product/33293753/22316975253,https://s.shopee.vn/5q7r20WB2n
29650093802,Kem nền bắt sáng Superstay Lumi Matte 30H che phủ siêu nhẹ mặt Maybelline New York 35ml [MỚI],"289,0k",900k+,Maybelline Official Store,"7,5%",₫20.230,https://shopee.vn/product/37252407/29650093802,https://s.shopee.vn/5LBaR5Y53i
23780380330,UNICARE Combo 100 Chiếc Khẩu trang UNICARE 6D ProMask Kháng Khuẩn Quai Chun Mềm Mại 3 Lớp Kháng Khuẩn,"156,0k",100k+,UNICARE By Việt Nam,"7,5%",₫10.920,https://shopee.vn/product/1072907057/23780380330,https://s.shopee.vn/5VV0dOXRil
16839163776,"Dung Dịch Vệ Sinh Phụ Nữ Intimate ZIAJA Xuất Xứ Ba Lan Giúp Dưỡng Ẩm, Khử Mùi, Se Khít Dung Tích 200ml","229,0k",200k+,Intimate Ziaja Store,"6,5%",₫13.740,https://shopee.vn/product/408810138/16839163776,https://s.shopee.vn/6L47cvUH1w
29916268763,Set 2 bát gấu- BÁT LỢN HEO  kèm 2 thìa - Bát sứ cho bé siêu xinh,"32,0k",90k+,Giá Rẻ Mỗi Ngày68,"7,5%",₫2.240,https://shopee.vn/product/1230404778/29916268763,https://s.shopee.vn/6VNXpETdgz
48351178052,Xịt khoá nền Sea Makeup Stayput Prime & Set Setting Spray Hỗ trợ 16H+++ dưỡng ẩm lâu trôi và hiệu quả lì mịn 100ml,"189,0k",300k+,Sea Makeup Việt Nam,"7,5%",₫13.230,https://shopee.vn/product/1637662830/48351178052,https://s.shopee.vn/60RHEJVXhu
10335367224,Mũ Lưỡi Trai Vintage Jussy Official Chất Vải Kaki Cotton Thoáng Mát Form Mềm Phong Cách Hàn Quốc,"59,0k",20k+,Jussy Official,16%,₫9.440,https://shopee.vn/product/22431875/10335367224,https://s.shopee.vn/6AkhQcUuMx
22361957700,"(Có túi ở lớp quần trong) Bộ tập gym yoga aerobic nữ , set thể thao nữ đồ tắm chất co giãn thoải mái tập luyện","120,0k",50k+,NASPORT 365,16%,₫19.192,https://shopee.vn/product/1129827597/22361957700,https://s.shopee.vn/4LJ3FFbt5c
19189643306,Dép Tông Nữ Đế Phẳng Đi Biển Dáng Đẹp-Dép Kẹp Nữ Mùa Hè Thoáng Khí 36-41-DXN,"48,0k",20k+,Giay zep Store,14%,₫6.723,https://shopee.vn/product/92509213/19189643306,https://s.shopee.vn/4VcTRYbFkf
27810253816,"Son kem nhung thuần chay, nhẹ môi BBIA Last Velvet Tint V Edition 5g","187,0k",100k+,Bbia Official Store,"7,5%",₫13.090,https://shopee.vn/product/9277307/27810253816,https://s.shopee.vn/40gCqdd9la
23966104404,Sách Giáo Khoa Lớp 2 - Kết Nối - Chuẩn Bộ Giáo Dục (Bài Học + Bài Tập) Kèm Bút Chì,"16,0k",20k+,Nhà sách FAHASA,"2,5%",₫320,https://shopee.vn/product/142856269/23966104404,https://s.shopee.vn/4Azd2wcWQd
20892375873,"Lô 3 cuộn túi rác màu (1kg) túi đựng rác sinh học tự phân hủy, thành túi dày hạn chế rỉ nước","39,5k",200k+,TIỆM GIA DỤNG THE ONE,"6,5%",₫2.373,https://shopee.vn/product/701911364/20892375873,https://s.shopee.vn/50Yk2TZLjo
22931544947,"Tấm lót đáy balo hổ trợ giảm mất form, giảm xụ phần đáy balo cặp sách khi đựng sách vở laptop nặng","32,0k",100k+,Gagastore Balo đi học,10%,₫3.200,https://shopee.vn/product/25620731/22931544947,https://s.shopee.vn/5AsAEmYiOr
6356903411,"Bột cacao nguyên chất DK HARVEST, Túi 100g/200g/500g, cacao bột vị đậm đà, kết cấu mịn màng, hàm lượng bơ cacao 11-13%","78,0k",100k+,DK HARVEST OFFICIAL STORE,"12,5%",₫9.360,https://shopee.vn/product/273650958/6356903411,https://s.shopee.vn/4fvtdracPm
10707015149,[CÓ SIZE MỚI] Nước Tẩy Trang làm sạch sâu dịu nhẹ cho mọi loại da - Garnier Micellar Cleansing Water 400ml & 700ml,"175,0k",3tr+,Garnier Official Store,"7,5%",₫12.250,https://shopee.vn/product/421677475/10707015149,https://s.shopee.vn/4qFJqAZz4p
